idaction,name,hash,type,url_prefix
248,"devpy.vipani.ai/rfq/sellers/create-quote?data=%7B%22product%22:6258,%22rfqID%22:1676%7D",3380440940,1,2.0
249,devpy.vipani.ai/rfq/buyer/rfq-details/1676,419641019,1,2.0
250,devpy.vipani.ai/rfq/buyer/rfq-product-quote-list?rfqId=1676&product=6256,3755988536,1,2.0
251,devpy.vipani.ai/rfq/buyer/quote-details?rfqId=1676&product=6256&quoteId=1272&seller=91,1022142058,1,2.0
252,devpy.vipani.ai/rfq/buyer/generate-po?quoteId=1272&rfqId=1676&sellerId=91,2313106468,1,2.0
253,devpy.vipani.ai/order-management/sent-to-supplier?id=994,528696095,1,2.0
254,devpy.vipani.ai/order-management/sent-to-supplier-view?id=994,3891079239,1,2.0
255,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1679,2909104825,1,2.0
256,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1680,1394724562,1,2.0
257,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1681,606535236,1,2.0
258,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1682,3174019070,1,2.0
259,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1683,3391659880,1,2.0
260,devpy.vipani.ai/rfq/buyer/rfq-product-selection/1683,33839657,1,2.0
261,devpy.vipani.ai/rfq/buyer/rfq-seller-selection/1683,1117649995,1,2.0
262,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1684,1414269643,1,2.0
263,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1685,592132701,1,2.0
264,devpy.vipani.ai/rfq/sellers/view-rfq-details?id=1683,3000483264,1,2.0
265,devpy.vipani.ai/rfq/sellers/rfq-details/1683,136563503,1,2.0
266,"devpy.vipani.ai/rfq/sellers/create-quote?data=%7B%22product%22:6270,%22rfqID%22:1683%7D",2001848441,1,2.0
267,"devpy.vipani.ai/rfq/sellers/create-quote?data=%7B%22product%22:6271,%22rfqID%22:1683%7D",3901443047,1,2.0
268,"devpy.vipani.ai/rfq/sellers/create-quote?data=%7B%22product%22:6268,%22rfqID%22:1683%7D",1166779855,1,2.0
269,"devpy.vipani.ai/rfq/sellers/create-quote?data=%7B%22product%22:6267,%22rfqID%22:1683%7D",161360609,1,2.0
270,devpy.vipani.ai/rfq/buyer/create_rfq/1685,2394664187,1,2.0
271,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1686,3124915175,1,2.0
272,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1687,3443874673,1,2.0
273,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1688,1576683232,1,2.0
274,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1689,721254006,1,2.0
275,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1691,1027460869,1,2.0
276,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1690,1245380499,1,2.0
277,devpy.vipani.ai/auction/auction-details,3917245680,1,2.0
278,devpy.vipani.ai/auction/product-info/529,305622476,1,2.0
279,devpy.vipani.ai/auction/bidder-req/529,3336992473,1,2.0
280,devpy.vipani.ai/auction/payment/529,2255518513,1,2.0
281,devpy.vipani.ai/auction/seller-auction-details/529,2730105738,1,2.0
282,devpy.vipani.ai/buyer-auction/buyer-auction-details/529,3746933757,1,2.0
283,devpy.vipani.ai/deal-room/general/recent/chat,2133646197,1,2.0
284,devpy.vipani.ai/deal-room/rfq/493/chat,3477324002,1,2.0
285,devpy.vipani.ai/rfq/buyer/additional_rfq_details/1693,3543379497,1,2.0
286,devpy.vipani.ai/rfq/buyer/rfq-product-selection/1693,455043944,1,2.0
287,devpy.vipani.ai/rfq/buyer/rfq-seller-selection/1693,1535560970,1,2.0
288,devpy.vipani.ai/rfq/sellers/view-rfq-details?id=1693,2882309249,1,2.0
289,devpy.vipani.ai/rfq/sellers/rfq-details/1693,288946798,1,2.0
290,devpy.vipani.ai/deal-room/rfq/1111/chat,2398509526,1,2.0
291,devpy.vipani.ai/rfq/buyer/rfq-details/1693,4159369146,1,2.0
292,devpy.vipani.ai/rfq/buyer/rfq-product-quote-list?rfqId=1693&product=6274,1782031246,1,2.0
293,devpy.vipani.ai/rfq/buyer/quote-details?rfqId=1693&product=6274&quoteId=1276&seller=91,125469762,1,2.0
294,devpy.vipani.ai/rfq/buyer/generate-po?quoteId=1276&rfqId=1693&sellerId=91,913132776,1,2.0
295,devpy.vipani.ai/order-management/sent-to-supplier?id=998,372576052,1,2.0
296,devpy.vipani.ai/order-management/sent-to-supplier-view?id=998,3998966892,1,2.0
297,devpy.vipani.ai/order-management/seller-purchage-order-list,762862007,1,2.0
298,devpy.vipani.ai/order-management/create-invoice?poId=998,2989210328,1,2.0
299,devpy.vipani.ai/order-management/send-to-buyer?id=998,1577412538,1,2.0
300,devpy.vipani.ai/order-management/send-to-buyer-view?invoiceId=728,4279397400,1,2.0
301,devpy.vipani.ai/order-management/invoice-approve?invoiceId=728&invoiceType=parent,3373632455,1,2.0
302,devpy.vipani.ai/order-management/po-make-payemnt?invoiceId=728&invoiceType=parent,3415388198,1,2.0
303,devpy.vipani.ai/order-management/seller-parent-invoice?invoiceId=728&invoiceType=parent,3656951669,1,2.0
304,devpy.vipani.ai/order-management/seller-invoice-view?invoiceId=793&invoiceType=child,1278713313,1,2.0
305,devpy.vipani.ai/order-management/seller-invoice-view?invoiceId=794&invoiceType=child,101258922,1,2.0
306,devpy.vipani.ai/order-management/create-asn/793,1692513391,1,2.0
307,devpy.vipani.ai/order-management/seller-shipment-details/793,317239474,1,2.0
308,devpy.vipani.ai/order-management/create-asn/794,4203028940,1,2.0
309,devpy.vipani.ai/order-management/seller-shipment-details/794,2357994769,1,2.0
310,devpy.vipani.ai/order-management/create-dc/698,1820353410,1,2.0
311,devpy.vipani.ai/order-management/request-grn/698,2704020354,1,2.0
312,devpy.vipani.ai/order-management/create-dc/699,461853460,1,2.0
313,devpy.vipani.ai/order-management/request-grn/699,3593151252,1,2.0
314,devpy.vipani.ai/e-commerce/search-products/Fenner%2520Pix%2520V%2520Belt,2871106386,1,2.0
315,devpy.vipani.ai/e-commerce/product-details/652,2959540647,1,2.0
316,devpy.vipani.ai/e-commerce/cart,141418951,1,2.0
317,devpy.vipani.ai/e-commerce/cart-ordersummery?type=Cart,3695916279,1,2.0
318,devpy.vipani.ai/order-management/create-invoice?poId=999,3308030542,1,2.0
319,devpy.vipani.ai/order-management/send-to-buyer?id=999,688019244,1,2.0
